NEW JERSEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Individual Income Tax Returns: 
Selected Income and Tax Items by State, 
County, and Size of Adjusted Gross Income, 
Tax Year 2012                                                                                                                                                                                                                                                                                                                                                                                                            ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Money amounts are in thousands of dollars],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"County 
FIPS 
code [1]",Size of adjusted gross income by county,Number of returns,Number of single returns,Number of joint returns,Number of head of household returns,Number with paid preparer's signature,Number of exemptions,Number of dependents,Adjusted gross income (AGI) [2],Salaries and wages in AGI,,Taxable interest,,Ordinary dividends,,Qualified dividends [3],,"Business or profession
net income (less loss)",,"Number of 
farm returns",Net capital gain (less loss) in AGI,,"Taxable individual retirement
arrangement distributions",,Pensions and annuities in AGI,,Unemployment compensation [4],,Social Security benefits in AGI,,Self-employment retirement plans,,Total itemized deductions,,,State and local income taxes,,State and local general sales taxes,,Real estate taxes,,Taxes paid,,Mortgage interest paid,,Contributions,,Taxable income,,Alternative minimum tax,,Total tax credits,,Child and dependent care credit,,Child tax credit,,Residential energy credit,,Earned income credit [5],,"Excess earned income 
credit (refundable) [6]",,Additional child tax credit,,Income tax [7],,Total tax liability [8],,Tax due at time of filing [9],,Overpayments refunded [10],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount of AGI,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),(19),(20),(21),(22),(23),(24),(25),(26),(27),(28),(29),(30),(31),(32),(33),(34),(35),(36),(37),(38),(39),(40),(41),(42),(43),(44),(45),(46),(47),(48),(49),(50),(51),(52),(53),(54),(55),(56),(57),(58),(59),(60),(61),(62),(63),(64),(65),(66),(67),(68),(69),(70),(71),(72),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000,NEW JERSEY,"4,306,600","2,024,720","1,568,530","633,840","2,798,920","8,349,970","2,813,400","334,553,398","3,554,650","241,667,737","1,629,300","3,843,172","1,112,970","8,219,201","1,026,430","6,216,043","619,880","11,868,861","9,320","860,080","15,968,012","415,730","7,632,271","790,410","18,568,861","545,360","4,554,257","561,490","8,333,769","41,660","1,007,627","1,825,850","266,131,213","56,519,131","1,479,690","14,118,115","303,390","291,335","1,600,870","13,974,651","1,819,790","28,792,807","1,305,880","13,226,470","1,546,140","5,644,502","3,366,280","239,197,833","267,940","2,057,283","1,322,980","1,843,923","221,780","129,618","613,200","717,234","78,630","34,887","599,250","1,302,286","515,250","1,125,720","447,820","568,522","3,049,120","48,954,610","3,270,330","50,946,357","753,360","3,997,483","3,285,030","10,161,893",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000,Under $1,59720,39230,15820,2900,44700,81380,18180,-5115111,16920,541725,23800,104548,22750,120786,20940,79397,15480,-138983,600,29050,140917,4350,76334,6150,74939,1970,18224,120,1030,120,1847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,3049,220,199,0,0,90,93,0,0,5830,7314,3990,5042,3330,5401,210,2966,8850,25983,4580,8497,21670,107078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000,"$1 under $10,000",641880,538030,40760,55760,381890,537160,116330,3226477,461450,2326606,131620,78831,92450,114683,83540,72148,90340,421187,440,70230,-23719,27000,97026,54650,239364,40590,181225,1530,6717,210,536,41410,223452,682753,7320,11674,26580,12932,32790,224747,39610,253899,17040,116800,22400,20481,99050,172085,30,8,6840,455,0,0,30,2,0,0,157920,178276,135020,150920,52790,36027,85400,16334,170350,78543,69370,28693,486170,391228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000,"$10,000 under $25,000",848070,502800,121620,209630,544430,1413630,501380,14493245,654560,10279636,167800,168576,98180,230465,87540,145282,116720,1175312,740,67600,7243,59640,384733,123320,1260201,153720,1100057,61460,112674,570,4280,113030,2017372,1852121,33140,33337,68930,41545,88690,568562,111150,658583,52170,347166,76290,106678,561960,3666621,280,220,166610,67611,12800,4733,53640,17872,1750,348,272480,827834,243440,733281,223960,291908,435590,320504,517030,494969,79950,78540,730080,1825358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000,"$25,000 under $50,000",895610,468840,205030,198510,568910,1656610,561370,32559796,764540,25570946,243690,259284,139790,390726,125670,254489,94290,1116919,1220,97730,50735,74510,698536,152560,2454332,132510,1272675,142770,1009982,1710,14351,262210,9965735,4530173,160600,212622,91960,77674,201480,1280426,260820,1609962,150400,1065694,200200,361680,853460,17091503,290,625,336550,319724,48080,30659,183980,169181,9490,2727,162900,288859,132710,236475,140970,199191,708680,1807881,743170,2006018,115110,178084,761050,1990782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
